Comment,Quantity,Designator,Footprint,JLCPCB Part,Link,,,,,,,,,,,,,,
100uF,1,C1,CAP-TH-D5.0-P2.00-D0.8-FD,C47873,https://jlcpcb.com/partdetail/48879-KM107M025D11RR0VH2FP0/C47873,,,,,,,,,,,,,,
0.1uF,2,"C2,C3",C_0805,C520082,https://jlcpcb.com/partdetail/YAGEO-CC0805JRX7R7BB104/C520082,,,,,,,,,,,,,,
BAT54S,1,D1,BAT 4S KL4,C8592,https://jlcpcb.com/partdetail/9087-BAT54SKL4/C8592,,,,,,,,,,,,,,
BZT52B5V1S,1,D2,DIO_BZT52B5V1S,C5261067,https://jlcpcb.com/partdetail/HXYMOSFET-BZT52B5V1S/C5261067,,,,,,,,,,,,,,
BSMD0603-010-24V,1,F1,F0603,C883089,https://jlcpcb.com/partdetail/BHFUSE-BSMD0603_01024V/C883089,,,,,,,,,,,,,,
MMBT2907A,1,Q1,Transistor-SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,C305431,https://jlcpcb.com/partdetail/Foshan_Blue_RocketElec-MMBT2907A/C305431,,,,,,,,,,,,,,
10K,3,"R1,R2,R5",R_0805,C702829,https://jlcpcb.com/partdetail/HKR_Hong_Kong_Resistors-RCT0510KFLF/C702829,,,,,,,,,,,,,,
1K,1,R3,R_0805,C702831,https://jlcpcb.com/partdetail/HKR_Hong_Kong_Resistors-RCT051KFLF/C702831,,,,,,,,,,,,,,
3.3K,1,R4,R_0805,C702834,https://jlcpcb.com/partdetail/HKR_Hong_Kong_Resistors-RCT053K3FLF/C702834,,,,,,,,,,,,,,
SN74LVC1G126DBVR,1,U2,SN74LVC1G126DBVR,C7834,https://jlcpcb.com/partdetail/TexasInstruments-TISN74LVC1G126DBVR/C7834,,,,,,,,,,,,,,
SN74LVC1G125DBVR,1,U1,SN74LVC1G125DBVR,C23654,https://jlcpcb.com/partdetail/TexasInstruments-TISN74LVC1G125DBVR/C23654,,,,,,,,,,,,,,
Power_DC Connector Terminal BLOCK,1,J4,KF127-5.08-2P,C474906,https://jlcpcb.com/partdetail/Cixi_KefaElec-KF127_5_082P/C474906,,,,,,,,,,,,,,
JST 3 PIN Connector,1,J3,JST S3P-VH(LF)(SN),C264986,https://jlcpcb.com/partdetail/JST-S3P_VH_LF_SN/C264986,,,,,,,,,,,,,,
Conn_01x07_Pin_RightESP,1,J2,Conn_01x07_Pin_Right,C2935978,https://jlcpcb.com/partdetail/DEALON-DM254R_11_0785/C2935978,,,,,,,,,,,,,,
Conn_01x07_Pin_LeftESP,1,J1,Conn_01x07_Pin_Left,C2935978,https://jlcpcb.com/partdetail/DEALON-DM254R_11_0785/C2935978,,,,,,,,,,,,,,
Right Angle 3P Molex,1,J5,22057035 MOLEX Right Angle Connector,C185225,https://jlcpcb.com/partdetail/MOLEX-22057035/C185225,,,,,,,,,,,,,,