Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Layer,,,,,,,,,,,,,
C1,100uF,CP_Radial_D5.0mm_P2.00mm,26.5,-2.0449,-90,TOP,,,,,,,,,,,,,
C2,0.1uF,C_0805,10.5,-7,-90,TOP,,,,,,,,,,,,,
C3,0.1uF,C_0805,17,-12,-90,TOP,,,,,,,,,,,,,
D1,BAT54S,SOT23,9.85,-13.5,-90,TOP,,,,,,,,,,,,,
D2,BZT52B5V1S,DIO_BZT52B5V1S,6.5,-15.5,90,TOP,,,,,,,,,,,,,
F1,Fuse,F0603,14.29,-17.02,180,TOP,,,,,,,,,,,,,
J1,Conn_01x07_Pin_LeftESP,PinHeader_1x07_P2.54mm_Vertical,37,-12.76,-90,TOP,,,,,,,,,,,,,
J2,Conn_01x07_Pin_RightESP,PinHeader_1x07_P2.54mm_Vertical,37,-28,-90,TOP,,,,,,,,,,,,,
J4,Power_DC,KJ127-5.08,35.5,-5.3,-90,TOP,,,,,,,,,,,,,
Q1,PNP,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,18.5,-8,0,TOP,,,,,,,,,,,,,
R1,10K,R_0805,25.5,-7,0,TOP,,,,,,,,,,,,,
R2,10K,R_0805,25.5,-9,180,TOP,,,,,,,,,,,,,
R3,1k,R_0805,22,-9,180,TOP,,,,,,,,,,,,,
R4,3.3K,R_0805,10,-10,0,TOP,,,,,,,,,,,,,
R5,10K,R_0805,10.5,-16.5,180,TOP,,,,,,,,,,,,,
U1,SN74LVC1G125DBVR,SOT95P280X145-5N,14,-6.5,180,TOP,,,,,,,,,,,,,
U2,SN74LVC1G126DBVR,SOT95P280X145-5N,14,-11.5,-90,TOP,,,,,,,,,,,,,
J3,B3PS-3 Pin Connector JST,JST S3P-VH(LF)(SN),6.49,-23.36,-90,TOP,,,,,,,,,,,,,
J5,Right Angle 3P Molex Connector,22057035 MOLEX Right Angle Connector,2.65,-8.5--,-90,TOP,,,,,,,,,,,,,